company_code,source_type,publish_date,title,content,processed
688075,announcement,2026-01-31,[688075] 安旭生物 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:7,100万元至8,500万元,同比上年下降:55.8%至63.08%,同比上年降低10,729.53万元至12,129.53万元。",True
688066,announcement,2026-01-31,[688066] 航天宏图 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:108,000万元。",True
688061,announcement,2026-01-31,[688061] 灿瑞科技 业绩预告,"预计2025年1-12月营业收入:58,000万元至66,000万元,同比上年增长:2.6%至16.75%,同比上年增长1,470.42万元至9,470.42万元。",True
688060,announcement,2026-01-31,[688060] 云涌科技 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:1,170万元至1,755万元,同比上年增长:54.36%至69.58%,同比上年增长2,090.6万元至2,675.6万元。",True
688055,announcement,2026-01-31,[688055] 龙腾光电 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:19,300万元至22,500万元。",True
688053,announcement,2026-01-31,[688053] ST思科瑞 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:1,532万元至2,298万元。",True
688052,announcement,2026-01-31,[688052] 纳芯微 业绩预告,"预计2025年1-12月营业收入:330,000万元至340,000万元,同比上年增长:68.34%至73.45%,同比上年增长133,972.58万元至143,972.58万元。",True
688033,announcement,2026-01-31,[688033] 天宜新材 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损:172,220.12万元至232,220.12万元,同比上年下降:8%至45.63%,同比上年降低12,758.97万元至72,758.97万元。",True
688022,announcement,2026-01-31,[688022] 瀚川智能 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润亏损约:4,920万元。",True
688013,announcement,2026-01-31,[688013] 天臣医疗 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:8,289.48万元至8,889.48万元,同比上年增长:59.74%至71.3%,同比上年增长3,100万元至3,700万元。",True
688007,announcement,2026-01-31,[688007] 光峰科技 业绩预告,"预计2025年1-12月营业收入约:170,900万元。",True
688001,announcement,2026-01-31,[688001] 华兴源创 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利约:4,800万元。",True
605208,announcement,2026-01-31,[605208] 永茂泰 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润盈利:6,000万元至7,000万元,同比上年增长:59.96%至86.62%,同比上年增长2,249.04万元至3,294.04万元。",True
605199,announcement,2026-01-31,[605199] ST葫芦娃 业绩预告,"预计2025年1-12月归属于上市公司股东的净利润亏损:21,000万元至31,000万元。",True
603988,announcement,2026-01-31,[603988] 中电电机 业绩预告,"预计2025年1-12月扣除非经常性损益后的净利润盈利:1,100万元至1,650万元。",True
